# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	14510	15739	+	WP_013115266.1	WP_013115266.1		RtcB family protein			CFLA_RS00065	1230	409	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	16323	16526	+							CFLA_RS00070	204		old_locus_tag=Cfla_0013
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	16323	16526	+	WP_013115267.1	WP_013115267.1		cold-shock protein			CFLA_RS00070	204	67	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	16699	17259	-							CFLA_RS00075	561		old_locus_tag=Cfla_0014
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	16699	17259	-	WP_013115268.1	WP_013115268.1		hypothetical protein			CFLA_RS00075	561	186	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	17312	18001	-							CFLA_RS00080	690		old_locus_tag=Cfla_0015
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	17312	18001	-	WP_013115269.1	WP_013115269.1		GNAT family N-acetyltransferase			CFLA_RS00080	690	229	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	18226	21198	-							CFLA_RS00085	2973		old_locus_tag=Cfla_0016
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	18226	21198	-	WP_013115270.1	WP_013115270.1		glycoside hydrolase family 9 protein			CFLA_RS00085	2973	990	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	21419	22330	-							CFLA_RS00090	912		old_locus_tag=Cfla_0017
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	21419	22330	-	WP_013115271.1	WP_013115271.1		hypothetical protein			CFLA_RS00090	912	303	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	22512	23051	+							CFLA_RS00095	540		old_locus_tag=Cfla_0018
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	22512	23051	+	WP_013115272.1	WP_013115272.1		peptidylprolyl isomerase			CFLA_RS00095	540	179	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	23155	23943	+							CFLA_RS00100	789		old_locus_tag=Cfla_0019
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	23155	23943	+	WP_245530406.1	WP_245530406.1		rhomboid family intramembrane serine protease			CFLA_RS00100	789	262	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	24148	24399	-							CFLA_RS00105	252		old_locus_tag=Cfla_0020
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	24148	24399	-	WP_013115274.1	WP_013115274.1		cell division protein CrgA			CFLA_RS00105	252	83	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	24594	25436	+							CFLA_RS00110	843		old_locus_tag=Cfla_0021
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	24594	25436	+	WP_013115275.1	WP_013115275.1		DUF881 domain-containing protein			CFLA_RS00110	843	280	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	25433	26239	+							CFLA_RS00115	807		old_locus_tag=Cfla_0022
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	25433	26239	+	WP_013115276.1	WP_013115276.1		class E sortase			CFLA_RS00115	807	268	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	26286	26447	+							CFLA_RS20240	162		old_locus_tag=Cfla_0023
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	26286	26447	+	WP_013115277.1	WP_013115277.1		hypothetical protein			CFLA_RS20240	162	53	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	26444	27067	+							CFLA_RS00125	624		old_locus_tag=Cfla_0024
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	26444	27067	+	WP_013115278.1	WP_013115278.1		aminodeoxychorismate/anthranilate synthase component II			CFLA_RS00125	624	207	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	27151	29157	-					pknB		CFLA_RS00130	2007		old_locus_tag=Cfla_0025
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	27151	29157	-	WP_013115279.1	WP_013115279.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		CFLA_RS00130	2007	668	
gene	pseudogene	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	29721	30491	-							CFLA_RS20735	771		partial;pseudo
CDS	without_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	29721	30491	-				serine/threonine protein kinase			CFLA_RS20735	771		partial;pseudo
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	30488	31939	-							CFLA_RS00140	1452		old_locus_tag=Cfla_0027
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	30488	31939	-	WP_013115281.1	WP_013115281.1		penicillin-binding protein 2			CFLA_RS00140	1452	483	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	31936	33537	-							CFLA_RS00145	1602		old_locus_tag=Cfla_0028
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	31936	33537	-	WP_013115282.1	WP_013115282.1		FtsW/RodA/SpoVE family cell cycle protein			CFLA_RS00145	1602	533	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	33537	34976	-							CFLA_RS00150	1440		old_locus_tag=Cfla_0029
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	33537	34976	-	WP_013115283.1	WP_013115283.1		Stp1/IreP family PP2C-type Ser/Thr phosphatase			CFLA_RS00150	1440	479	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	34981	35490	-							CFLA_RS00155	510		old_locus_tag=Cfla_0030
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	34981	35490	-	WP_013115284.1	WP_013115284.1		FHA domain-containing protein			CFLA_RS00155	510	169	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	35500	36207	-							CFLA_RS00160	708		old_locus_tag=Cfla_0031
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	35500	36207	-	WP_013115285.1	WP_013115285.1		DUF3662 domain-containing protein			CFLA_RS00160	708	235	
gene	tRNA	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	36595	36677	+							CFLA_RS00165	83		old_locus_tag=Cfla_R0003
tRNA		GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	36595	36677	+				tRNA-Leu			CFLA_RS00165	83		anticodon=CAG
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	36945	38582	-							CFLA_RS00170	1638		old_locus_tag=Cfla_0032
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	36945	38582	-	WP_013115286.1	WP_013115286.1		hypothetical protein			CFLA_RS00170	1638	545	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	38579	39469	-							CFLA_RS00175	891		old_locus_tag=Cfla_0033
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	38579	39469	-	WP_245530272.1	WP_245530272.1		site-specific integrase			CFLA_RS00175	891	296	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	40829	41566	+							CFLA_RS00185	738		
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	40829	41566	+	WP_148234242.1	WP_148234242.1		hypothetical protein			CFLA_RS00185	738	245	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	41862	44126	+							CFLA_RS00190	2265		old_locus_tag=Cfla_0035
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	41862	44126	+	WP_148234243.1	WP_148234243.1		polyribonucleotide nucleotidyltransferase			CFLA_RS00190	2265	754	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	44619	45458	+							CFLA_RS00195	840		old_locus_tag=Cfla_0036
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	44619	45458	+	WP_013115290.1	WP_013115290.1		bis-aminopropyl spermidine synthase family protein			CFLA_RS00195	840	279	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	46033	46680	-							CFLA_RS00205	648		
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	46033	46680	-	WP_043598644.1	WP_043598644.1		hypothetical protein			CFLA_RS00205	648	215	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	46673	47668	-							CFLA_RS00210	996		old_locus_tag=Cfla_0037
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	46673	47668	-	WP_187291315.1	WP_187291315.1		ImmA/IrrE family metallo-endopeptidase			CFLA_RS00210	996	331	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	47736	48374	+							CFLA_RS19820	639		old_locus_tag=Cfla_0038
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	47736	48374	+	WP_013115292.1	WP_013115292.1		hypothetical protein			CFLA_RS19820	639	212	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	49372	51864	+							CFLA_RS00215	2493		old_locus_tag=Cfla_0039
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	49372	51864	+	WP_013115293.1	WP_013115293.1		hypothetical protein			CFLA_RS00215	2493	830	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	51870	52253	+							CFLA_RS00220	384		old_locus_tag=Cfla_0040
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	51870	52253	+	WP_148234245.1	WP_148234245.1		hypothetical protein			CFLA_RS00220	384	127	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	52258	52788	-							CFLA_RS00225	531		old_locus_tag=Cfla_0041
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	52258	52788	-	WP_148234246.1	WP_148234246.1		hypothetical protein			CFLA_RS00225	531	176	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	53013	53888	-							CFLA_RS00230	876		old_locus_tag=Cfla_0043
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	53013	53888	-	WP_013115297.1	WP_013115297.1		class C sortase			CFLA_RS00230	876	291	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	53998	55521	-							CFLA_RS00235	1524		old_locus_tag=Cfla_0044
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	53998	55521	-	WP_013115298.1	WP_013115298.1		SpaH/EbpB family LPXTG-anchored major pilin			CFLA_RS00235	1524	507	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	55629	59999	-							CFLA_RS00240	4371		old_locus_tag=Cfla_0045
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	55629	59999	-	WP_043598649.1	WP_043598649.1		hypothetical protein			CFLA_RS00240	4371	1456	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	60201	61100	+							CFLA_RS00245	900		old_locus_tag=Cfla_0046
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	60201	61100	+	WP_052302643.1	WP_052302643.1		ATP-binding cassette domain-containing protein			CFLA_RS00245	900	299	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	61324	62115	+							CFLA_RS18765	792		old_locus_tag=Cfla_0047
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	61324	62115	+	WP_013115301.1	WP_013115301.1		CHAP domain-containing protein			CFLA_RS18765	792	263	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	62209	62811	+							CFLA_RS20245	603		old_locus_tag=Cfla_0048
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	62209	62811	+	WP_187291316.1	WP_187291316.1		Pr6Pr family membrane protein			CFLA_RS20245	603	200	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	62919	63566	+							CFLA_RS20250	648		old_locus_tag=Cfla_0049
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	62919	63566	+	WP_052302644.1	WP_052302644.1		response regulator transcription factor			CFLA_RS20250	648	215	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	63563	65782	+							CFLA_RS00265	2220		old_locus_tag=Cfla_0050
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	63563	65782	+	WP_013115304.1	WP_013115304.1		ATP-binding protein			CFLA_RS00265	2220	739	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	65893	66366	+							CFLA_RS00270	474		old_locus_tag=Cfla_0051
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	65893	66366	+	WP_013115305.1	WP_013115305.1		YiaA/YiaB family protein			CFLA_RS00270	474	157	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	66394	67365	-							CFLA_RS00275	972		old_locus_tag=Cfla_0052
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	66394	67365	-	WP_245530273.1	WP_245530273.1		LacI family transcriptional regulator			CFLA_RS00275	972	323	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	67515	69161	+							CFLA_RS00280	1647		old_locus_tag=Cfla_0053
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	67515	69161	+	WP_013115307.1	WP_013115307.1		ATP-binding cassette domain-containing protein			CFLA_RS00280	1647	548	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	69174	69794	-							CFLA_RS00285	621		old_locus_tag=Cfla_0054
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	69174	69794	-	WP_013115308.1	WP_013115308.1		YigZ family protein			CFLA_RS00285	621	206	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	69918	70463	+							CFLA_RS00290	546		old_locus_tag=Cfla_0055
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	69918	70463	+	WP_013115309.1	WP_013115309.1		hypothetical protein			CFLA_RS00290	546	181	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	70589	71578	+							CFLA_RS00295	990		old_locus_tag=Cfla_0056
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	70589	71578	+	WP_013115310.1	WP_013115310.1		NAD-dependent epimerase/dehydratase family protein			CFLA_RS00295	990	329	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	71702	73168	+							CFLA_RS00300	1467		old_locus_tag=Cfla_0057
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	71702	73168	+	WP_013115311.1	WP_013115311.1		hypothetical protein			CFLA_RS00300	1467	488	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	73217	73615	-							CFLA_RS00305	399		old_locus_tag=Cfla_0058
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	73217	73615	-	WP_013115312.1	WP_013115312.1		YchJ family protein			CFLA_RS00305	399	132	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	73691	74359	+							CFLA_RS00310	669		old_locus_tag=Cfla_0059
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	73691	74359	+	WP_013115313.1	WP_013115313.1		ThuA domain-containing protein			CFLA_RS00310	669	222	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	74287	75792	-							CFLA_RS00315	1506		old_locus_tag=Cfla_0060
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	74287	75792	-	WP_148234248.1	WP_148234248.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00315	1506	501	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	75821	77266	-							CFLA_RS00320	1446		old_locus_tag=Cfla_0061
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	75821	77266	-	WP_013115315.1	WP_013115315.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00320	1446	481	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	77306	78775	-							CFLA_RS00325	1470		old_locus_tag=Cfla_0062
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	77306	78775	-	WP_013115316.1	WP_013115316.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00325	1470	489	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	78826	80310	-							CFLA_RS00330	1485		old_locus_tag=Cfla_0063
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	78826	80310	-	WP_013115317.1	WP_013115317.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00330	1485	494	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	80380	81807	-							CFLA_RS00335	1428		old_locus_tag=Cfla_0064
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	80380	81807	-	WP_013115318.1	WP_013115318.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00335	1428	475	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	81858	83351	-							CFLA_RS00340	1494		old_locus_tag=Cfla_0065
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	81858	83351	-	WP_013115319.1	WP_013115319.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00340	1494	497	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	83400	84941	-							CFLA_RS00345	1542		old_locus_tag=Cfla_0066
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	83400	84941	-	WP_013115320.1	WP_013115320.1		PQQ-binding-like beta-propeller repeat protein			CFLA_RS00345	1542	513	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	85007	86182	-							CFLA_RS18770	1176		old_locus_tag=Cfla_0067
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	85007	86182	-	WP_013115321.1	WP_013115321.1		HAF repeat-containing protein			CFLA_RS18770	1176	391	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	86232	87416	-							CFLA_RS00355	1185		old_locus_tag=Cfla_0068
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	86232	87416	-	WP_148234250.1	WP_148234250.1		hypothetical protein			CFLA_RS00355	1185	394	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	87725	88771	+							CFLA_RS19830	1047		old_locus_tag=Cfla_0069
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	87725	88771	+	WP_013115323.1	WP_013115323.1		LPXTG cell wall anchor domain-containing protein			CFLA_RS19830	1047	348	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	89068	89676	-							CFLA_RS00365	609		old_locus_tag=Cfla_0070
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	89068	89676	-	WP_013115324.1	WP_013115324.1		TetR/AcrR family transcriptional regulator			CFLA_RS00365	609	202	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	89719	90471	+							CFLA_RS00370	753		old_locus_tag=Cfla_0071
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	89719	90471	+	WP_148234251.1	WP_148234251.1		GNAT family N-acetyltransferase			CFLA_RS00370	753	250	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	90478	91944	-							CFLA_RS00375	1467		old_locus_tag=Cfla_0072
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	90478	91944	-	WP_013115326.1	WP_013115326.1		XRE family transcriptional regulator			CFLA_RS00375	1467	488	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	92499	93857	+					aceA		CFLA_RS00380	1359		old_locus_tag=Cfla_0073
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	92499	93857	+	WP_013115327.1	WP_013115327.1		isocitrate lyase	aceA		CFLA_RS00380	1359	452	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	94005	95672	+					aceB		CFLA_RS00385	1668		old_locus_tag=Cfla_0074
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	94005	95672	+	WP_013115328.1	WP_013115328.1		malate synthase A	aceB		CFLA_RS00385	1668	555	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	96234	96998	+					map		CFLA_RS00390	765		old_locus_tag=Cfla_0075
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	96234	96998	+	WP_013115329.1	WP_013115329.1		type I methionyl aminopeptidase	map		CFLA_RS00390	765	254	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	97104	98837	-							CFLA_RS18775	1734		old_locus_tag=Cfla_0076
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	97104	98837	-	WP_013115330.1	WP_013115330.1		DNA polymerase IV			CFLA_RS18775	1734	577	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	99000	100007	-							CFLA_RS00400	1008		old_locus_tag=Cfla_0077
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	99000	100007	-	WP_013115331.1	WP_013115331.1		endo alpha-1,4 polygalactosaminidase			CFLA_RS00400	1008	335	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	100158	100673	+							CFLA_RS00410	516		old_locus_tag=Cfla_0078
