# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12666	12741	+							CELF_RS00050	76		old_locus_tag=Celf_R0002
tRNA		GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12666	12741	+				tRNA-Ala			CELF_RS00050	76		anticodon=TGC
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12899	13579	-							CELF_RS00055	681		old_locus_tag=Celf_0010
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	12899	13579	-	WP_013769192.1	WP_013769192.1		GNAT family N-acetyltransferase			CELF_RS00055	681	226	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	13630	14193	-							CELF_RS00060	564		old_locus_tag=Celf_0011
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	13630	14193	-	WP_013769193.1	WP_013769193.1		hypothetical protein			CELF_RS00060	564	187	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	14360	14650	-							CELF_RS00065	291		old_locus_tag=Celf_0012
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	14360	14650	-	WP_013769194.1	WP_013769194.1		hypothetical protein			CELF_RS00065	291	96	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	14660	15265	-							CELF_RS00070	606		old_locus_tag=Celf_0013
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	14660	15265	-	WP_013769195.1	WP_013769195.1		hypothetical protein			CELF_RS00070	606	201	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	15262	16050	-							CELF_RS00075	789		old_locus_tag=Celf_0014
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	15262	16050	-	WP_013769196.1	WP_013769196.1		hypothetical protein			CELF_RS00075	789	262	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	16297	17022	+							CELF_RS00080	726		old_locus_tag=Celf_0015
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	16297	17022	+	WP_013769197.1	WP_013769197.1		SARP family transcriptional regulator			CELF_RS00080	726	241	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	17143	18066	+							CELF_RS00085	924		old_locus_tag=Celf_0016
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	17143	18066	+	WP_013769198.1	WP_013769198.1		ATP-binding cassette domain-containing protein			CELF_RS00085	924	307	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	18063	18911	+							CELF_RS00090	849		old_locus_tag=Celf_0017
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	18063	18911	+	WP_013769199.1	WP_013769199.1		ABC transporter permease			CELF_RS00090	849	282	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	18908	19738	+							CELF_RS00095	831		old_locus_tag=Celf_0018
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	18908	19738	+	WP_013769200.1	WP_013769200.1		ABC transporter permease			CELF_RS00095	831	276	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	19822	22959	-							CELF_RS00100	3138		old_locus_tag=Celf_0019
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	19822	22959	-	WP_013769201.1	WP_013769201.1		glycoside hydrolase family 9 protein			CELF_RS00100	3138	1045	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	23083	24405	-							CELF_RS00105	1323		old_locus_tag=Celf_0020
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	23083	24405	-	WP_013769202.1	WP_013769202.1		acyltransferase			CELF_RS00105	1323	440	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	24665	25693	-							CELF_RS00110	1029		old_locus_tag=Celf_0021
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	24665	25693	-	WP_013769203.1	WP_013769203.1		hypothetical protein			CELF_RS00110	1029	342	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	25860	26399	+							CELF_RS00115	540		old_locus_tag=Celf_0022
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	25860	26399	+	WP_013769204.1	WP_013769204.1		peptidylprolyl isomerase			CELF_RS00115	540	179	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	26478	27269	+							CELF_RS00120	792		old_locus_tag=Celf_0023
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	26478	27269	+	WP_232014276.1	WP_232014276.1		rhomboid family intramembrane serine protease			CELF_RS00120	792	263	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	27559	27807	-							CELF_RS00125	249		old_locus_tag=Celf_0024
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	27559	27807	-	WP_013769206.1	WP_013769206.1		cell division protein CrgA			CELF_RS00125	249	82	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	27985	28851	+							CELF_RS00130	867		old_locus_tag=Celf_0025
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	27985	28851	+	WP_013769207.1	WP_013769207.1		DUF881 domain-containing protein			CELF_RS00130	867	288	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	28844	29665	+							CELF_RS00135	822		old_locus_tag=Celf_0026
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	28844	29665	+	WP_013769208.1	WP_013769208.1		class E sortase			CELF_RS00135	822	273	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	29715	29873	+							CELF_RS20570	159		old_locus_tag=Celf_0027
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	29715	29873	+	WP_013769209.1	WP_013769209.1		hypothetical protein			CELF_RS20570	159	52	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	29875	30498	+							CELF_RS00145	624		old_locus_tag=Celf_0028
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	29875	30498	+	WP_013769210.1	WP_013769210.1		aminodeoxychorismate/anthranilate synthase component II			CELF_RS00145	624	207	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	30677	32686	-					pknB		CELF_RS00150	2010		old_locus_tag=Celf_0029
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	30677	32686	-	WP_013769211.1	WP_013769211.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		CELF_RS00150	2010	669	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	32686	33975	-							CELF_RS19260	1290		old_locus_tag=Celf_0030
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	32686	33975	-	WP_013769212.1	WP_013769212.1		serine/threonine protein kinase			CELF_RS19260	1290	429	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	33972	35423	-							CELF_RS00160	1452		old_locus_tag=Celf_0031
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	33972	35423	-	WP_013769213.1	WP_013769213.1		penicillin-binding protein 2			CELF_RS00160	1452	483	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	35420	36892	-							CELF_RS00165	1473		old_locus_tag=Celf_0032
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	35420	36892	-	WP_013769214.1	WP_013769214.1		FtsW/RodA/SpoVE family cell cycle protein			CELF_RS00165	1473	490	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	36903	38291	-							CELF_RS00170	1389		old_locus_tag=Celf_0033
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	36903	38291	-	WP_013769215.1	WP_013769215.1		protein phosphatase 2C domain-containing protein			CELF_RS00170	1389	462	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	38295	38840	-							CELF_RS00175	546		old_locus_tag=Celf_0034
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	38295	38840	-	WP_013769216.1	WP_013769216.1		FHA domain-containing protein			CELF_RS00175	546	181	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	38850	39560	-							CELF_RS20575	711		old_locus_tag=Celf_0035
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	38850	39560	-	WP_013769217.1	WP_013769217.1		DUF3662 domain-containing protein			CELF_RS20575	711	236	
gene	tRNA	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	39819	39901	+							CELF_RS00185	83		old_locus_tag=Celf_R0003
tRNA		GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	39819	39901	+				tRNA-Leu			CELF_RS00185	83		anticodon=CAG
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	40173	41777	-							CELF_RS00190	1605		old_locus_tag=Celf_0036
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	40173	41777	-	WP_013769218.1	WP_013769218.1		hypothetical protein			CELF_RS00190	1605	534	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	41807	42649	-							CELF_RS00195	843		old_locus_tag=Celf_0037
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	41807	42649	-	WP_232014277.1	WP_232014277.1		site-specific integrase			CELF_RS00195	843	280	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	42898	43131	-							CELF_RS00200	234		old_locus_tag=Celf_0038
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	42898	43131	-	WP_013769220.1	WP_013769220.1		hypothetical protein			CELF_RS00200	234	77	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	43579	44271	+							CELF_RS00205	693		old_locus_tag=Celf_0039
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	43579	44271	+	WP_049791402.1	WP_049791402.1		hypothetical protein			CELF_RS00205	693	230	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	44268	47624	+							CELF_RS00210	3357		old_locus_tag=Celf_0040
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	44268	47624	+	WP_013769221.1	WP_013769221.1		DEAD/DEAH box helicase family protein			CELF_RS00210	3357	1118	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	47626	48678	+							CELF_RS00215	1053		old_locus_tag=Celf_0041
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	47626	48678	+	WP_013769222.1	WP_013769222.1		Eco57I restriction-modification methylase domain-containing protein			CELF_RS00215	1053	350	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	49014	50051	+							CELF_RS00220	1038		old_locus_tag=Celf_0042
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	49014	50051	+	WP_232014278.1	WP_232014278.1		endonuclease NucS			CELF_RS00220	1038	345	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	50256	50690	-							CELF_RS00225	435		old_locus_tag=Celf_0043
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	50256	50690	-	WP_126297623.1	WP_126297623.1		hypothetical protein			CELF_RS00225	435	144	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	51146	51922	+							CELF_RS00230	777		old_locus_tag=Celf_0044
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	51146	51922	+	WP_013769225.1	WP_013769225.1		SRPBCC family protein			CELF_RS00230	777	258	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	52023	54761	-							CELF_RS20850	2739		old_locus_tag=Celf_0045
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	52023	54761	-	WP_013769226.1	WP_013769226.1		glycoside hydrolase family 9 protein			CELF_RS20850	2739	912	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	55006	56625	+							CELF_RS00240	1620		old_locus_tag=Celf_0046
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	55006	56625	+	WP_013769227.1	WP_013769227.1		SMI1/KNR4 family protein			CELF_RS00240	1620	539	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	56821	58494	+							CELF_RS20990	1674		old_locus_tag=Celf_0047
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	56821	58494	+	WP_013769228.1	WP_013769228.1		leucine-rich repeat domain-containing protein			CELF_RS20990	1674	557	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	58596	60914	-							CELF_RS20995	2319		old_locus_tag=Celf_0048
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	58596	60914	-	WP_013769229.1	WP_013769229.1		hypothetical protein			CELF_RS20995	2319	772	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	60916	61563	-							CELF_RS00255	648		old_locus_tag=Celf_0049
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	60916	61563	-	WP_013769230.1	WP_013769230.1		hypothetical protein			CELF_RS00255	648	215	
gene	pseudogene	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	61898	62608	+							CELF_RS00260	711		partial;pseudo;old_locus_tag=Celf_0050
CDS	without_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	61898	62608	+				adenylyl cyclase			CELF_RS00260	711		partial;pseudo
gene	pseudogene	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	63089	63334	-							CELF_RS21000	246		partial;pseudo
CDS	without_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	63089	63334	-				helix-turn-helix transcriptional regulator			CELF_RS21000	246		partial;pseudo
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	63553	64914	-							CELF_RS00270	1362		old_locus_tag=Celf_0052
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	63553	64914	-	WP_013769233.1	WP_013769233.1		MATE family efflux transporter			CELF_RS00270	1362	453	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	65196	66569	+					dnaB		CELF_RS00275	1374		old_locus_tag=Celf_0053
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	65196	66569	+	WP_232014384.1	WP_232014384.1		replicative DNA helicase	dnaB		CELF_RS00275	1374	457	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	66666	67247	-							CELF_RS00280	582		old_locus_tag=Celf_0054
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	66666	67247	-	WP_013769235.1	WP_013769235.1		TetR/AcrR family transcriptional regulator			CELF_RS00280	582	193	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	67359	68102	+							CELF_RS00285	744		old_locus_tag=Celf_0055
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	67359	68102	+	WP_013769236.1	WP_013769236.1		NAD(P)-binding domain-containing protein			CELF_RS00285	744	247	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	68149	69144	+							CELF_RS00290	996		old_locus_tag=Celf_0056
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	68149	69144	+	WP_013769237.1	WP_013769237.1		zinc-binding dehydrogenase			CELF_RS00290	996	331	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	69289	69669	-							CELF_RS00295	381		old_locus_tag=Celf_0057
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	69289	69669	-	WP_013769238.1	WP_013769238.1		VOC family protein			CELF_RS00295	381	126	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	69870	71162	+							CELF_RS00300	1293		old_locus_tag=Celf_0058
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	69870	71162	+	WP_013769239.1	WP_013769239.1		cation:proton antiporter			CELF_RS00300	1293	430	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	71502	72398	+							CELF_RS00305	897		old_locus_tag=Celf_0059
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	71502	72398	+	WP_013769240.1	WP_013769240.1		SDR family oxidoreductase			CELF_RS00305	897	298	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	72610	73626	+							CELF_RS00310	1017		old_locus_tag=Celf_0060
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	72610	73626	+	WP_126297624.1	WP_126297624.1		ALF repeat-containing protein			CELF_RS00310	1017	338	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	73816	74295	-							CELF_RS00315	480		old_locus_tag=Celf_0061
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	73816	74295	-	WP_013769242.1	WP_013769242.1		pyridoxamine 5'-phosphate oxidase family protein			CELF_RS00315	480	159	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	74607	75332	+							CELF_RS00320	726		old_locus_tag=Celf_0062
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	74607	75332	+	WP_013769243.1	WP_013769243.1		hypothetical protein			CELF_RS00320	726	241	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	75454	75939	-							CELF_RS00325	486		old_locus_tag=Celf_0063
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	75454	75939	-	WP_013769244.1	WP_013769244.1		RidA family protein			CELF_RS00325	486	161	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	75936	77138	-							CELF_RS00330	1203		old_locus_tag=Celf_0064
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	75936	77138	-	WP_049791403.1	WP_049791403.1		MFS transporter			CELF_RS00330	1203	400	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	77144	78010	-							CELF_RS00335	867		old_locus_tag=Celf_0065
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	77144	78010	-	WP_013769246.1	WP_013769246.1		polysaccharide deacetylase family protein			CELF_RS00335	867	288	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	78007	79668	-							CELF_RS00340	1662		old_locus_tag=Celf_0066
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	78007	79668	-	WP_013769247.1	WP_013769247.1		FAD/NAD(P)-binding protein			CELF_RS00340	1662	553	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	79665	80486	-							CELF_RS00345	822		old_locus_tag=Celf_0067
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	79665	80486	-	WP_013769248.1	WP_013769248.1		glycosyltransferase			CELF_RS00345	822	273	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	80498	81913	-							CELF_RS00350	1416		old_locus_tag=Celf_0068
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	80498	81913	-	WP_013769249.1	WP_013769249.1		FAD-dependent oxidoreductase			CELF_RS00350	1416	471	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	81910	82791	-							CELF_RS00355	882		old_locus_tag=Celf_0069
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	81910	82791	-	WP_013769250.1	WP_013769250.1		glycosyltransferase			CELF_RS00355	882	293	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	83113	84279	-					hutI		CELF_RS00360	1167		old_locus_tag=Celf_0070
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	83113	84279	-	WP_013769251.1	WP_013769251.1		imidazolonepropionase	hutI		CELF_RS00360	1167	388	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	84276	85613	-							CELF_RS00365	1338		old_locus_tag=Celf_0071
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	84276	85613	-	WP_013769252.1	WP_013769252.1		formimidoylglutamate deiminase			CELF_RS00365	1338	445	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	85610	86839	-							CELF_RS00370	1230		old_locus_tag=Celf_0072
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	85610	86839	-	WP_013769253.1	WP_013769253.1		allantoate amidohydrolase			CELF_RS00370	1230	409	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	86836	88500	-							CELF_RS00375	1665		old_locus_tag=Celf_0073
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	86836	88500	-	WP_013769254.1	WP_013769254.1		urocanate hydratase			CELF_RS00375	1665	554	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	88497	90128	-					hutH		CELF_RS00380	1632		old_locus_tag=Celf_0074
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	88497	90128	-	WP_013769255.1	WP_013769255.1		histidine ammonia-lyase	hutH		CELF_RS00380	1632	543	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	90200	90982	+							CELF_RS00385	783		old_locus_tag=Celf_0075
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	90200	90982	+	WP_013769256.1	WP_013769256.1		IclR family transcriptional regulator			CELF_RS00385	783	260	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	91048	92112	+							CELF_RS21005	1065		old_locus_tag=Celf_0076
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	91048	92112	+	WP_041553286.1	WP_041553286.1		serine hydrolase			CELF_RS21005	1065	354	
gene	pseudogene	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	92154	93191	-							CELF_RS00395	1038		partial;pseudo;old_locus_tag=Celf_0077
CDS	without_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	92154	93191	-				MFS transporter			CELF_RS00395	1038		partial;pseudo
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	93338	94486	+							CELF_RS00400	1149		old_locus_tag=Celf_0078
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	93338	94486	+	WP_013769258.1	WP_013769258.1		ROK family protein			CELF_RS00400	1149	382	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	94494	96212	-							CELF_RS00405	1719		old_locus_tag=Celf_0079
CDS	with_protein	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	94494	96212	-	WP_013769259.1	WP_013769259.1		GMC family oxidoreductase			CELF_RS00405	1719	572	
gene	protein_coding	GCF_000212695.1	Primary Assembly	chromosome		NC_015514.1	96364	97689	+							CELF_RS00410	1326		old_locus_tag=Celf_0080
